participant_id,ts_iso,phase,condition,answers_json,meta_json
e197730a-0fbc-4232-b47e-2d1e650d0f3c,2025-10-28T19:33:18.512514,pre,perspective,"{""consent"": ""Yes"", ""stance"": ""A good thing"", ""info_support"": ""Informed"", ""strength_support"": ""Strong"", ""complexity"": ""Complicated"", ""condition"": ""perspective""}","{""page"": ""done-pre""}"
e197730a-0fbc-4232-b47e-2d1e650d0f3c,2025-11-04T17:13:57.815822,pre,perspective,"{""consent"": ""Yes"", ""stance"": ""A good thing"", ""info_support"": ""Very informed"", ""strength_support"": ""Very strong"", ""complexity"": ""Very complicated"", ""condition"": ""perspective"", ""phase"": ""post"", ""stance_post"": ""A good thing"", ""info_support_post"": ""Very informed"", ""strength_support_post"": ""Very strong"", ""complexity_post"": ""Very complicated""}","{""event"": ""pre_auto_save"", ""app_version"": ""0.2.0"", ""survey_version"": ""pre-post-v1"", ""userAgent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0""}"
e197730a-0fbc-4232-b47e-2d1e650d0f3c,2025-11-04T17:28:50.975947,mid,control,"{""consent"": ""Yes"", ""stance"": ""A good thing"", ""info_support"": ""Very informed"", ""strength_support"": ""Very strong"", ""complexity"": ""Very complicated"", ""condition"": ""control"", ""phase"": ""post"", ""stance_post"": ""A good thing"", ""info_support_post"": ""Very informed"", ""strength_support_post"": ""Very strong"", ""complexity_post"": ""Very complicated"", ""participant_id"": ""e197730a-0fbc-4232-b47e-2d1e650d0f3c"", ""ctrl_feel_pre"": 9, ""ctrl_comments"": [{""id"": ""c6"", ""text"": ""DEI creates a more welcoming culture that retains talented employees."", ""rating"": 4}, {""id"": ""c5"", ""text"": ""Mandatory trainings don’t change attitudes; voluntary communities of practice are better."", ""rating"": 4}, {""id"": ""c4"", ""text"": ""Diverse teams can bring better ideas but also require stronger conflict resolution."", ""rating"": 4}, {""id"": ""c3"", ""text"": ""Mentorship and outreach are more effective than quotas for long-term inclusion."", ""rating"": 4}, {""id"": ""c2"", ""text"": ""DEI programs sometimes prioritize optics over actual competence and results."", ""rating"": 4}, {""id"": ""c1"", ""text"": ""DEI initiatives help create fair opportunities for underrepresented groups at work."", ""rating"": 5}], ""ctrl_feel_post"": 9}","{""event"": ""control_mid_save"", ""app_version"": ""0.3.0"", ""userAgent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0""}"
e197730a-0fbc-4232-b47e-2d1e650d0f3c,2025-11-04T17:29:26.665748,post,control,"{""consent"": ""Yes"", ""stance"": ""A good thing"", ""info_support"": ""Very informed"", ""strength_support"": ""Very strong"", ""complexity"": ""Very complicated"", ""condition"": ""control"", ""phase"": ""post"", ""stance_post"": ""A good thing"", ""info_support_post"": ""Informed"", ""strength_support_post"": ""Strong"", ""complexity_post"": ""Very complicated"", ""participant_id"": ""e197730a-0fbc-4232-b47e-2d1e650d0f3c"", ""ctrl_feel_pre"": 9, ""ctrl_comments"": [{""id"": ""c6"", ""text"": ""DEI creates a more welcoming culture that retains talented employees."", ""rating"": 4}, {""id"": ""c5"", ""text"": ""Mandatory trainings don’t change attitudes; voluntary communities of practice are better."", ""rating"": 4}, {""id"": ""c4"", ""text"": ""Diverse teams can bring better ideas but also require stronger conflict resolution."", ""rating"": 4}, {""id"": ""c3"", ""text"": ""Mentorship and outreach are more effective than quotas for long-term inclusion."", ""rating"": 4}, {""id"": ""c2"", ""text"": ""DEI programs sometimes prioritize optics over actual competence and results."", ""rating"": 4}, {""id"": ""c1"", ""text"": ""DEI initiatives help create fair opportunities for underrepresented groups at work."", ""rating"": 5}], ""ctrl_feel_post"": 9}","{""event"": ""manual_save_done"", ""app_version"": ""0.2.0"", ""survey_version"": ""pre-post-v1"", ""userAgent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0""}"
e197730a-0fbc-4232-b47e-2d1e650d0f3c,2025-11-04T17:42:04.647709,pre,control,"{""consent"": ""Yes"", ""stance"": ""A good thing"", ""info_support"": ""Very informed"", ""strength_support"": ""Very strong"", ""complexity"": ""Very complicated"", ""condition"": ""control"", ""phase"": ""post"", ""stance_post"": ""A good thing"", ""info_support_post"": ""Informed"", ""strength_support_post"": ""Strong"", ""complexity_post"": ""Very complicated"", ""participant_id"": ""e197730a-0fbc-4232-b47e-2d1e650d0f3c"", ""ctrl_feel_pre"": 9, ""ctrl_comments"": [{""id"": ""c6"", ""text"": ""DEI creates a more welcoming culture that retains talented employees."", ""rating"": 4}, {""id"": ""c5"", ""text"": ""Mandatory trainings don’t change attitudes; voluntary communities of practice are better."", ""rating"": 4}, {""id"": ""c4"", ""text"": ""Diverse teams can bring better ideas but also require stronger conflict resolution."", ""rating"": 4}, {""id"": ""c3"", ""text"": ""Mentorship and outreach are more effective than quotas for long-term inclusion."", ""rating"": 4}, {""id"": ""c2"", ""text"": ""DEI programs sometimes prioritize optics over actual competence and results."", ""rating"": 4}, {""id"": ""c1"", ""text"": ""DEI initiatives help create fair opportunities for underrepresented groups at work."", ""rating"": 5}], ""ctrl_feel_post"": 9}","{""event"": ""pre_auto_save"", ""app_version"": ""0.2.0"", ""survey_version"": ""pre-post-v1"", ""userAgent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0""}"
e197730a-0fbc-4232-b47e-2d1e650d0f3c,2025-11-04T17:44:11.953478,mid,control,"{""consent"": ""Yes"", ""stance"": ""A good thing"", ""info_support"": ""Very informed"", ""strength_support"": ""Very strong"", ""complexity"": ""Very complicated"", ""condition"": ""control"", ""phase"": ""post"", ""stance_post"": ""A good thing"", ""info_support_post"": ""Informed"", ""strength_support_post"": ""Strong"", ""complexity_post"": ""Very complicated"", ""participant_id"": ""e197730a-0fbc-4232-b47e-2d1e650d0f3c"", ""ctrl_feel_pre"": 9, ""ctrl_comments"": [{""id"": ""c6"", ""text"": ""DEI creates a more welcoming culture that retains talented employees."", ""rating"": 4}, {""id"": ""c5"", ""text"": ""Mandatory trainings don’t change attitudes; voluntary communities of practice are better."", ""rating"": 4}, {""id"": ""c4"", ""text"": ""Diverse teams can bring better ideas but also require stronger conflict resolution."", ""rating"": 4}, {""id"": ""c3"", ""text"": ""Mentorship and outreach are more effective than quotas for long-term inclusion."", ""rating"": 4}, {""id"": ""c2"", ""text"": ""DEI programs sometimes prioritize optics over actual competence and results."", ""rating"": 4}, {""id"": ""c1"", ""text"": ""DEI initiatives help create fair opportunities for underrepresented groups at work."", ""rating"": 5}], ""ctrl_feel_post"": 9}","{""event"": ""control_mid_save"", ""app_version"": ""0.3.0"", ""userAgent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0""}"
f54f1aca-f983-4c7a-9e54-e363779d989c,2025-11-04T18:48:30.758804,pre,control,"{""condition"": ""control"", ""participant_id"": ""f54f1aca-f983-4c7a-9e54-e363779d989c"", ""ctrl_feel_pre"": 9, ""consent"": ""Yes"", ""stance"": ""A good thing"", ""info_support"": ""Neither informed nor uninformed"", ""strength_support"": ""Neither strong nor weak"", ""complexity"": ""Complicated""}","{""event"": ""pre_auto_save"", ""app_version"": ""0.2.0"", ""survey_version"": ""pre-post-v1"", ""userAgent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0""}"
f54f1aca-f983-4c7a-9e54-e363779d989c,2025-11-04T19:15:20.698631,chat,control,"{""chat"": {""mode"": ""perspective"", ""seconds"": 682, ""transcript"": [{""role"": ""assistant"", ""text"": ""Let's explore the issue by imagining how it affects different people. I’ll invite you to take another person’s viewpoint.""}, {""role"": ""user"", ""text"": ""what if i dont want too""}, {""role"": ""assistant"", ""text"": ""Imagine someone affected differently—what might they say about this?""}]}}","{""from"": ""chat-shell""}"
f54f1aca-f983-4c7a-9e54-e363779d989c,2025-11-04T19:15:32.719407,post,control,"{""participant_id"": ""f54f1aca-f983-4c7a-9e54-e363779d989c"", ""condition"": ""control"", ""chat"": {""mode"": ""perspective"", ""seconds"": 682, ""transcript"": [{""role"": ""assistant"", ""text"": ""Let's explore the issue by imagining how it affects different people. I’ll invite you to take another person’s viewpoint.""}, {""role"": ""user"", ""text"": ""what if i dont want too""}, {""role"": ""assistant"", ""text"": ""Imagine someone affected differently—what might they say about this?""}]}, ""phase"": ""post"", ""stance_post"": ""A good thing"", ""info_support_post"": ""Informed"", ""strength_support_post"": ""Weak"", ""complexity_post"": ""Very uncomplicated""}","{""event"": ""manual_save_done"", ""app_version"": ""0.2.0"", ""survey_version"": ""pre-post-v1"", ""userAgent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0""}"
f54f1aca-f983-4c7a-9e54-e363779d989c,2025-11-04T19:15:59.323979,pre,perspective,"{""participant_id"": ""f54f1aca-f983-4c7a-9e54-e363779d989c"", ""condition"": ""perspective"", ""chat"": {""mode"": ""perspective"", ""seconds"": 682, ""transcript"": [{""role"": ""assistant"", ""text"": ""Let's explore the issue by imagining how it affects different people. I’ll invite you to take another person’s viewpoint.""}, {""role"": ""user"", ""text"": ""what if i dont want too""}, {""role"": ""assistant"", ""text"": ""Imagine someone affected differently—what might they say about this?""}]}, ""phase"": ""post"", ""stance_post"": ""A good thing"", ""info_support_post"": ""Informed"", ""strength_support_post"": ""Weak"", ""complexity_post"": ""Very uncomplicated"", ""consent"": ""Yes"", ""stance"": ""A good thing"", ""info_support"": ""Very informed"", ""strength_support"": ""Strong"", ""complexity"": ""Neither complicated nor uncomplicated""}","{""event"": ""pre_auto_save"", ""app_version"": ""0.2.0"", ""survey_version"": ""pre-post-v1"", ""userAgent"": ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:144.0) Gecko/20100101 Firefox/144.0""}"
